name,link,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Amirault Les Quarterons Les Gravilices Saint-Nicolas-de-Bourgueil AOC,https://www.wina.pl/naturalne/3907-amirault-les-quarterons-les-gravilices-saint-nicolas-de-bourgueil-aoc.html,110.7,Francja,Dolina Loary,Saint-Nicolas-de-Bourgueil AOC,,2018.0,0.75,12.5,16-18,czerwone,,wytrawne,średnie,,False,True,,Cabernet Franc
Amirault Les Quarterons Saint-Nicolas-de-Bourgueil AOC,https://www.wina.pl/naturalne/3905-amirault-les-quarterons-saint-nicolas-de-bourgueil-aoc.html,98.1,Francja,Dolina Loary,Saint-Nicolas-de-Bourgueil AOC,,2020.0,0.75,12.5,15,czerwone,,wytrawne,średnie,,False,True,,Cabernet Franc
Amos Baneres Hey,https://www.wina.pl/naturalne/3084-amos-baneres-hey.html,108.0,Hiszpania,Katalonia,Penedes DO,Amos Baneres,2021.0,0.75,11.0,,białe,,wytrawne,średnie,,True,True,,"Macabeo, Xarel.lo"
Amos Baneres Missatge En Una Ampolla,https://www.wina.pl/naturalne/3083-amos-baneres-missatge-en-una-ampolla.html,155.0,Hiszpania,Katalonia,Penedes DO,Amos Baneres,2018.0,0.75,12.0,,białe,,wytrawne,średnie,,True,True,,Xarel.lo
Amos Bańeres Vinya Oculta,https://www.wina.pl/naturalne/3080-amos-baneres-vinya-oculta.html,175.0,Hiszpania,Katalonia,Penedes DO,Amos Baneres,2020.0,0.75,12.0,,białe,,wytrawne,średnie,,True,True,,Xarel.lo
Andert Blauer Zweigelt Neusiedlersee,https://www.wina.pl/naturalne/3382-andert-blauer-zweigelt-neusiedlersee.html,118.0,Austria,Burgenland,,,2018.0,0.75,10.5,10-12,czerwone,,,lekkie,,True,True,,Zweigelt
Andert Pamhogna Weiss Neusiedlersee,https://www.wina.pl/wina-pomaranczowe/3360-andert-pamhogna-weiss-neusiedlersee.html,151.0,Austria,Burgenland,,,2021.0,0.75,12.0,10-12,pomarańczowe,,,średnie,,True,True,,"Pinot Blanc, Neuburger, Pinot Gris"
Andert Personalgetränk Neusiedlersee,https://www.wina.pl/naturalne/3384-andert-personalgetraenk-neusiedlersee.html,151.0,Austria,Burgenland,,,2018.0,0.75,10.5,14,czerwone,,,lekkie,,True,True,,"Pinot Blanc, Pinot Gris, Zweigelt, Neuburger"
Andert Rosé Neusiedlersee,https://www.wina.pl/naturalne/3385-andert-rose-neusiedlersee.html,118.0,Austria,Burgenland,,,2021.0,0.75,11.5,14,różowe,,,średnie,,True,True,,"Cabernet Sauvignon, St. Laurent, Zweigelt"
Andert Ruländer Neusiedlersee,https://www.wina.pl/wina-pomaranczowe/3361-andert-rulaender-neusiedlersee.html,187.0,Austria,Burgenland,,,2021.0,0.75,10.5,10-12,pomarańczowe,,,średnie,,True,True,,Pinot Gris
Andert Tausend Neusiedlersee,https://www.wina.pl/naturalne/3383-andert-tausend-ml-neusiedlersee.html,119.0,Austria,Burgenland,,,2021.0,1.0,10.5,10-12,czerwone,,,lekkie,,True,True,,Zweigelt
Andi Weigand PET-NAT Frankonia,https://www.wina.pl/naturalne/3450-andi-weigand-pet-nat-frankonia.html,149.0,Niemcy,Frankonia,,,2021.0,0.75,11.5,10-12,,musujące,wytrawne,lekkie,,True,True,,"Silvaner, Müller Thurgau, Riesling, Scheurebe"
Andi Weigand SILVANER Frankonia,https://www.wina.pl/naturalne/3449-andi-weigand-silvaner-frankonia.html,139.0,Niemcy,Frankonia,,,2021.0,0.75,11.5,10-12,białe,,wytrawne,średnie,,True,True,,Silvaner
Andi Weigand WHITE Frankonia,https://www.wina.pl/naturalne/3448-andi-weigand-white-frankonia.html,119.0,Niemcy,Frankonia,,,2021.0,0.75,11.5,10-12,białe,,wytrawne,lekkie,,True,True,,"Silvaner, Bacchus, Müller Thurgau, Scheurebe"
Andrea Pilar Bocca Dei Fossi IGP Umbria,https://www.wina.pl/naturalne/4058-andrea-pilar-bocca-dei-fossi-igp-umbria.html,96.0,Włochy,Umbria,Umbria IGT,,2021.0,0.75,13.0,12,różowe,,wytrawne,średnie,,False,True,,Montepulciano
Andrea Pilar Calaverna IGP Umbria,https://www.wina.pl/naturalne/4057-andrea-pilar-calaverna-igp-umbria.html,96.0,Włochy,Umbria,Umbria IGT,,2021.0,0.75,13.0,10,białe,,wytrawne,średnie,,False,True,,Grechetto
Andrea Pilar Malvasia Nera IGP Umbria,https://www.wina.pl/naturalne/4059-andrea-pilar-malvasia-nera-igp-umbria.html,96.0,Włochy,Umbria,Umbria IGT,,2020.0,0.75,13.0,16,czerwone,,wytrawne,średnie,,False,True,,Montepulciano
Andrea Pilar Musugazzo Frizzante IGP Umbria,https://www.wina.pl/naturalne/4056-andrea-pilar-musugazzo-frizzante-igp-umbria.html,89.0,Włochy,Umbria,Umbria IGT,,2021.0,0.75,12.0,8,białe,musujące,wytrawne,lekkie,,False,True,,Sangiovese
Andrea Pilar Syrah IGP Umbria,https://www.wina.pl/naturalne/4060-andrea-pilar-syrah-igp-umbria.html,96.0,Włochy,Umbria,Umbria IGT,,2019.0,0.75,13.0,16,czerwone,,wytrawne,pełne,,False,True,,Syrah
